time,x,y,value
0.0,12.158992257142858,44.41978567142857,1.0
0.0,12.159553814285713,44.41997714285714,1.0
0.0,12.16011537142857,44.420168614285714,1.0
0.0,12.160115371428573,44.420168614285714,1.0
0.0,12.16067692857143,44.420360085714286,1.0
0.0,12.161238485714286,44.42055155714286,1.0
0.0,12.161800042857141,44.42074302857143,1.0
0.0,12.1623616,44.4209345,1.0
0.0,12.162923157142856,44.421125971428566,1.0
0.0,12.163484714285714,44.421317442857145,1.0
0.0,12.163484714285715,44.421317442857145,1.0
0.0,12.164046271428571,44.42150891428571,1.0
0.0,12.164607828571429,44.42170038571429,1.0
0.0,12.164900214285714,44.42522192857143,1.0
0.0,12.164900214285716,44.42522192857143,1.0
0.0,12.165169385714284,44.42189185714285,1.0
0.0,12.165169385714286,44.42189185714285,1.0
0.0,12.165330928571429,44.42521805714286,1.0
0.0,12.1655189,44.42475278,1.0
0.0,12.1655189,44.424752780000006,1.0
0.0,12.165730942857142,44.42208332857143,1.0
0.0,12.165761642857142,44.42521418571428,1.0
0.0,12.1660103,44.42486426,1.0
0.0,12.16618475,44.423932349999994,1.0
0.0,12.166192357142856,44.425210314285714,1.0
0.0,12.166192357142858,44.42521031428572,1.0
0.0,12.166292499999999,44.4222748,1.0
0.0,12.1662925,44.422274800000004,1.0
0.0,12.166366199999999,44.4239596,1.0
0.0,12.166501700000001,44.42497574,1.0
0.0,12.166522525,44.423922774999994,1.0
0.0,12.16654765,44.423986850000006,1.0
0.0,12.166623071428571,44.425206442857146,1.0
0.0,12.166854057142857,44.422466271428576,1.0
0.0,12.16691795,44.424310250000005,1.0
0.0,12.166952425,44.424023075,1.0
0.0,12.166993100000001,44.42508722,1.0
0.0,12.166993100000001,44.42508722000001,1.0
0.0,12.16704175,44.42394045,1.0
0.0,12.16705255,44.423818975,1.0
0.0,12.167053785714286,44.42520257142857,1.0
0.0,12.167053785714288,44.42520257142858,1.0
0.0,12.167106799999999,44.4246064,1.0
0.0,12.16717575,44.42403205,1.0
0.0,12.16729565,44.42490255,1.0
0.0,12.167324449999999,44.42376455,1.0
0.0,12.1673951,44.423871250000005,1.0
0.0,12.167399075,44.424041025,1.0
0.0,12.167415614285714,44.42265774285714,1.0
0.0,12.167560975,44.423958125,1.0
0.0,12.167737650000001,44.423923525000006,1.0
0.0,12.167766775,44.4240512,1.0
0.0,12.16791115,44.4240524,1.0
0.0,12.1679389,44.4237624,1.0
0.0,12.167977171428571,44.42284921428571,1.0
0.0,12.168055525,44.4240536,1.0
0.0,12.168437525,44.424037325,1.0
0.0,12.168538728571429,44.423040685714284,1.0
0.0,12.168538728571429,44.42304068571429,1.0
0.0,12.168553350000002,44.42376025,1.0
0.0,12.168675149999999,44.42401985,1.0
0.0,12.1686909875,44.423898675000004,0.9785892376359124
0.0,12.168912774999999,44.424002375,1.0
0.0,12.169100285714286,44.42323215714286,1.0
0.0,12.16915475,44.423928200000006,1.0
0.0,12.1691591,44.423871500000004,1.0
0.0,12.169163450000001,44.4238148,1.0
0.0,12.169185675,44.42399437500001,1.0
0.0,12.16922095,44.424003850000005,1.0
0.0,12.169242400000002,44.423793625,1.0
0.0,12.169256225,44.424013325000004,1.0
0.0,12.1692657,44.41913146363636,1.0
0.0,12.169301775000001,44.42382155,0.9785892376359124
0.0,12.169317,44.42382915,1.0
0.0,12.1693327,44.424001800000006,1.0
0.0,12.169361199999999,44.419572927272725,1.0
0.0,12.1693739,44.4239808,1.0
0.0,12.1693869,44.42406245000001,1.0
0.0,12.1693916,44.423864675000004,1.0
0.0,12.1694151,44.423959800000006,1.0
0.0,12.1694567,44.42001439090909,1.0
0.0,12.169458775,44.42392915,1.0
0.0,12.169461250000001,44.4239195,1.0
0.0,12.169463725,44.42390985,1.0
